Id,abbreviation_de,title_de,description_de,abbreviation_en,Title_en,description_en,body_region_de,body_detail_de,Body_region_en,body_detail_en,deception_rating
0,Acc,Arme verschränkt,Arme verschränkt,Acc,Arms crossed,often due to temperature or comfort,Oberkörper,Arm,upperbody,arm,4
1,Ht,Kopf schräg legen,2,DNL,head tilt,,Oberkörper,,,,
2,Ct,Kinn vorstrecken,Kinn wird nach vorne gestreckt,Ct,chin thrust,Chin pushed forward,Kopf,Kinn,head,chin,4
3,Ef,Brauenblitzer,Kurzer Augenbrauenbewegung nach oben,Ef,eyebrow flash,Brief eyebrow raise,Kopf,Auge,head,eye,1
4,Hd,head downcast,,DNL,head,head,0,,,,2
5,Lc,lip compression,,B,head,mouth,0,,,,2
6,Ts,teeth sucking,,B,head,mouth,0,,,,3
7,Tu,turtling,,BDA,upperbody,shoulder,0,,,,2.5
8,Om,object in mouth,,B,head,mouth,0,,,,2.5
9,Jc,jaw clenching,,BA,head,mouth,0,,,,2.5
10,Wd,nostril wing dilation,,BDA,head,nose,0,,,,3
11,Cg,Bestätigungsschein,Blick zur Bestätigung,Cg,confirmation glance,Glance for confirmation,Kopf,Auge,head,eye,4
12,Yn,yawn,1,DNL,head,mouth,0,,,,
13,Ha,Glück,Happiness sichtbar im Gesicht,Ha,happiness,Happiness visible on face,Kopf,Gesicht,head,face,1
14,Fl,Rötung,Flush im Gesicht sichtbar,Fl,flushing,Flushing visible,Kopf,Gesicht,head,face,1.5
15,Hb,head back,1.5,DNL,head,head,0,,,,
16,Lr,lip retraction,2,DA,head,mouth,0,,,,
17,Ot,Augenspannung,Ocular orbital tension sichtbar,Ot,ocular orbital tension,Visible tension around eyes,Kopf,Auge,head,eye,2.5
18,Bn,Augenbrauen verengen,Augenbrauen werden nach unten gezogen,Bn,eyebrow narrowing,Eyebrows drawn downward,Kopf,Augenbraue,head,brow,2.5
19,Vn,Belüftung,Brustbewegung beim Atmen sichtbar,Vn,ventilation,Visible chest movement when breathing,Oberkörper,Brust,upperbody,chest,3
20,Aa,adams’s apple raise,4.0,BA,head,neck,0,,,,
21,Gd,Führung,Geste zur Führung,Gd,guiding,Guiding gesture,Oberkörper,Hand,upperbody,hand,1
22,Bg,Baton-Gesten,Gestik mit Schlagstock,Bg,baton gestures,Gestures with baton,Oberkörper,Hand,upperbody,hand,1.5
23,Ye,vertical head shake,1,DNL,head,head,0,,,,
24,Hs,head support,1,DNL,head,head,0,,,,
25,Sp,Überraschung,Überraschung im Gesicht sichtbar,Sp,surprise,Surprise visible on face,Kopf,Gesicht,head,face,1
26,Br,Augenblinzeln,Blitzartige Augenbewegung,Br,eye blink rate,Rate of eye blinking,Kopf,Auge,head,eye,1
27,Pd,Pupillenerweiterung,Pupillen werden größer,Pd,pupil dilation,Pupils dilate,Kopf,Auge,head,eye,1.5
28,Sq,Augenzusammenkneifen,Augen werden leicht zusammengekniffen,Sq,eye squint,Eyes slightly squinted,Kopf,Auge,head,eye,1
29,Sh,Schulterzucken,Schultern werden hochgezogen,Sh,Shoulders raised, showing uncertainty or indifference,Oberkörper,Arm,upperbody,arm,1
30,Sa,Traurigkeit,Traurigkeit im Gesicht sichtbar,Sa,sadness,Sadness visible on face,Kopf,Gesicht,head,face,1
31,Dg,Ekel,Ekel im Gesicht sichtbar,Dg,disgust,Disgust visible on face,Kopf,Gesicht,head,face,1
32,Fr,Angst,Angst im Gesicht sichtbar,Fr,fear,Fear visible on face,Kopf,Gesicht,head,face,1.5
33,Co,Verachtung,Verachtung im Gesicht sichtbar,Co,contempt,Contempt visible on face,Kopf,Gesicht,head,face,1
34,Ag,Wut,Wut im Gesicht sichtbar,Ag,anger,Anger visible on face,Kopf,Gesicht,head,face,1
35,Pr,Schützende Gesten,Hände oder Arme schützen Körpermitte,Pr,protecting gestures,Hands or arms protect the torso,Oberkörper,Arme,upperbody,arms,2.5
36,Sw,swallowing,2.5,BD,head,neck,0,,,,
