Id,abbreviation_en,abbreviation_de,Title_en,deception_rating,annotiation-and-timing,Body_region_en,body_detail_en,emotion,Variations,title_de,Description_de,Note,Deception timeframe,Cultural prevelance,Sexual prevekance,Confirming gesture,Amplfying gesture
0,Acc,Acc,arm cross,4,,upperbody,arm,0,4,Arme verschränkt  ,"Das Verschränken der Arne ist eine universelle Geste. Es gibt sie in vier Basis-Varianten. Und vorab gesagt: Die oft kommunizierte Bedeutung des Verschränkens der Arme, die man in Büchern, Magazinen etc. findet ist, dass es eine defensive Geste sei. Das mag manchmal tatsächlich der Dall sein, aber die ursprüngliche Bedeutung ist weitgreifender.//Bei der Beurteilung dieser Geste sind auf folgende Parameter zu achten:////auf * die Position von Handfläche//* die Richtung des Daumens, umgreift er in den Arm oder ist liegt er die die anderen Finger an und bildet quasi eine grössere Handfläche//* die Stärke des Verschränkens//* die Position der Finger und//* Abstand von Oberarm zum Torso////Grundsätzlich verschränken wird die Arme, wenn wir Sicherheit oder Wärme benötigen oder wir uns bedroht fühlen.////Hier ein paar grundsätzliche Regeln, um dies zu verdeutlichen:////* je stärker der Griff, desto grösser ist der Wunsch nach Sicherheit//* die Handflächen zeigen zu, Körper, sodass wir uns quasi selbst umarmen - und dadurch selbst absichern//* nach oben zeigende Daumen ist zumeist ein Zeichen bestehender Sicherheit, trotzdem die Arme verschränkt sind// * je gebeugter die Finger, desto grösser der empfundene Ärger oder Wut//* verschränke Arme in Verbindung mit einem entsprechenden Gesichtsausdruck sind durchaus auch ein sicheres Zeichen für Stolz sein//* Hände, die den Oberarm umfassen, in Kombination mit Wut (AG) oder Verachtung (Co) stellen einen Einschüchterungsversuch dar//* Wen Frauen innerhalbeiner stressigen sozialen Interaktion die Arme verschränken, ist dies häufig von einem Schulterzucken begleitet//* Wenn die Finger den Arn umgreifen und Richtung Brustbein / Sternum ziehen, muss auf Zeichen von Wut (Ag) geachtet werden; Denn dies ein Warnzeichen. In Kombination mit dem Aufstellen der Nasenflügel (Wd) ist dies ein Zeichen, dass das Subjekt gewaltbereit ist.//* Die dominante Hand ist in der Regel die, die oben ist; der dominante Arm ist entsprechend eher unten////Zur Besseren Unterscheidung haben wir hier mehrere Varianten:////* Arme verschränken, die Handflächen berühren den Körper (Acc1) (AccUmarmung)//* Arme verschränken, die Handflächen berühren den Körper, die Daumen zeigen nach oben (Acc3)//* Arme verschränkt, die Hände umfliessen die Oberarme (Acc2)//* Arme verschränkt, die Hände umgreifen die Oberarme in bisweilen festem Griff//* Arme verschränkt, die Hände zu Fäusten geballt (Acc4) ",,,,,,
1,Ht,Ht,head tilt,2,DNL,head,head,0,,Kopfneigung  ,,Sq-Ye-Ip,,,,,
2,Ct,Ct,chin thrust,4,DNL,head,chin,0,,Kinnvorschub  ,,,,,,,
3,Ef,Ef,eyebrow flash,1,DNL,head,eye,0,,Augenbrauenhochziehen  ,,,,,,,
4,Hd,Hd,head downcast,2,DNL,head,head,0,,Kopf senken  ,,,,,,,
5,Lc,Lc,lip compression,2,B,head,mouth,0,,Lippen zusammenpressen  ,,,,,,,
6,Ts,Ts,teeth sucking,3,B,head,mouth,0,,Zähne saugen  ,,,,,,,
7,Tu,Tu,turtling,2.5,BDA,upperbody,shoulder,0,,Kopf einziehen (Schildkrötenhaltung)  ,,,,,,,
8,Om,Om,object in mouth,2.5,B,head,mouth,0,,Gegenstand im Mund  ,,,,,,,
9,Jc,Jc,jaw clenching,2.5,BA,head,mouth,0,,Kiefer zusammenbeißen  ,,,,,,,
10,Wd,Wd,nostril wing dilation,3,BDA,head,nose,0,,Nasenflügel weiten  ,,,,,,,
11,Cg,Cg,confirmation glance,4,BDA,head,eye,0,,Bestätigender Blick  ,,,,,,,
12,Yn,Yn,yawn,1,DNL,head,mouth,0,,Gähnen  ,,,,,,,
13,Ha,Ha,happiness,1,DNL,head,emotion,0,,Freude  ,,,,,,,
14,Fl,Fl,flushing,1.5,DNL,head,face,0,,Erröten  ,,,,,,,
15,Hb,Hb,head back,1.5,DNL,head,head,0,,Kopf zurücklegen  ,,,,,,,
16,Lr,Lr,lip retraction,2,DA,head,mouth,0,,Lippen zurückziehen  ,,,,,,,
17,Ot,Ot,ocular orbital tension,2.5,BD,head,eye,0,,Anspannung um die Augen  ,,,,,,,
18,Bn,Bn,eyebrow narrowing,2.5,Bn,head,brow,0,,Augenbrauen zusammenziehen  ,,,,,,,
19,Vn,Vn,ventilation,3.0,BDA,upperbody,chest,0,,Belüftung (z. B. Kleidung lockern)  ,,,,,,,
20,Aa,Aa,adams’s apple raise,4.0,BA,head,neck,0,,Adamsapfel bewegt sich  ,,,,,,,
21,Gd,Gd,guiding,1.0,DNL,upperbody,hand,0,,Führen / Leiten (mit Gesten)  ,,,,,,,
22,Bg,Bg,baton gestures,1.5,DNL,upperbody,hand,0,,Gesten mit „Taktstock“ (betonende Handbewegungen)  ,,,,,,,
